folder_name,Testcase_Id,title,Preconditions,Test Steps,Expected Results,Priority,type,test scope,run_type,Memo,REQ_Id
"PV > ICSR Config > Case ID > 접근 및 권한",TC-CASEID-001-001,Master Admin Case ID Configuration 접근 검증,"1. Master Admin 계정 존재
2. Admin > ICSR Config > Case ID 메뉴 경로 확인","1. Master Admin 계정으로 로그인
2. Admin > ICSR Config > Case ID 메뉴 클릭
3. Case ID Configuration 화면 진입 확인","1. [Front] Case ID Configuration 화면 정상 표시됨
2. [Front] 조직 식별자·Year·자릿수 등 설정 필드 편집 가능 상태
3. [Front] 저장 버튼 활성화됨",High,Functional,"Regression,Smoke",Automation,"[권한] Master Admin 접근 허용. 기획서 2.1 접근 권한 명시",REQ-052
"PV > ICSR Config > Case ID > 접근 및 권한",TC-CASEID-001-002,Org Admin Case ID Configuration 접근 검증,"1. Org Admin 계정 존재
2. Admin > ICSR Config > Case ID 경로 확인","1. Org Admin 계정으로 로그인
2. Admin > ICSR Config > Case ID 메뉴 클릭
3. Case ID Configuration 화면 진입 확인","1. [Front] Case ID Configuration 화면 정상 표시됨
2. [Front] 설정 필드 편집 가능 상태
3. [Front] 저장 버튼 활성화됨",High,Functional,Regression,Automation,"[권한] Org Admin 접근 허용",REQ-052
"PV > ICSR Config > Case ID > 접근 및 권한",TC-CASEID-002-001,Case Processor Case ID Configuration 접근 차단 검증,"1. Case Processor 역할 계정 존재
2. Admin > ICSR Config > Case ID 경로 확인","1. Case Processor 계정으로 로그인
2. Admin > ICSR Config > Case ID 메뉴 접근 시도","1. [Front] Case ID Configuration 화면 미표시 또는 접근 거부 메시지 표시
2. [Front] 메뉴 항목 비활성화 또는 숨김 처리
3. [Downstream] 설정 변경 불가",High,Negative,Regression,Automation,"[권한] Case Processor 접근 차단. 미인가 접근 검증",REQ-052
"PV > ICSR Config > Case ID > 접근 및 권한",TC-CASEID-002-002,Safety Officer Case ID Configuration 접근 차단 검증,"1. Safety Officer 역할 계정 존재","1. Safety Officer 계정으로 로그인
2. Admin > ICSR Config > Case ID 메뉴 접근 시도","1. [Front] Case ID Configuration 화면 미표시 또는 접근 거부
2. [Front] 설정 변경 불가
3. [Downstream] 없음",High,Negative,Regression,Automation,"[권한] Safety Officer 접근 차단",REQ-052
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-003-001,조직 식별자 1글자 최솟값 정상 저장 검증,"1. Master Admin 또는 Org Admin으로 Configuration 화면 접근","1. 조직 식별자 필드에 영문 1글자(예: A) 입력
2. 저장 버튼 클릭","1. [Front] 저장 성공 메시지 표시
2. [Data] 조직 식별자 'A' 저장 확인
3. [Downstream] 없음",High,Boundary,Regression,Automation,,REQ-006
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-003-002,조직 식별자 10글자 최댓값 정상 저장 검증,"1. Master Admin 또는 Org Admin으로 Configuration 화면 접근","1. 조직 식별자 필드에 영숫자 10글자(예: SELTASQ001) 입력
2. 저장 버튼 클릭","1. [Front] 저장 성공
2. [Data] 10글자 조직 식별자 저장 확인
3. [Downstream] 없음",High,Boundary,Regression,Automation,,REQ-006
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-003-003,조직 식별자 대소문자 구분 저장 검증,"1. Configuration 화면 접근","1. 조직 식별자 'Selta' 입력 후 저장
2. 저장값 확인
3. 'SELTA'로 변경 후 저장
4. 저장값 확인","1. [Front] 입력값 그대로 저장됨 (대소문자 변환 없음)
2. [Data] 'Selta' ≠ 'SELTA' 별도 저장 확인
3. [Downstream] 없음",Medium,Functional,Regression,Automation,,REQ-007
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-003-004,저장된 조직 식별자 Case ID 반영 검증,"1. 조직 식별자 'SELTA' 저장 완료
2. 케이스 생성 환경 준비","1. 매뉴얼 케이스 생성 진행
2. 생성된 케이스의 Case ID 확인","1. [Front] Case ID에 'SELTA' 포함 확인
2. [Data] C.1.1 값에 조직 식별자 포함됨
3. [Downstream] 없음",High,Functional,"Regression,Smoke",Automation,,REQ-006
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-004-001,조직 식별자 빈 값 저장 차단 검증,"1. Configuration 화면 접근
2. 조직 식별자 필드 초기화","1. 조직 식별자 필드 빈 상태에서 저장 클릭","1. [Front] 저장 차단 및 필수 입력 안내 표시
2. [Data] 기존 값 유지
3. [Downstream] 없음",High,Negative,Regression,Automation,,REQ-006
"PV > ICSR Config > Case ID > 조직 식별자",TC-CASEID-004-002,조직 식별자 11글자 초과 입력 차단 검증,"1. Configuration 화면 접근","1. 조직 식별자 필드에 11글자(예: SELTASQ0011) 입력 시도","1. [Front] 11번째 글자 입력 불가 또는 저장 차단
2. [Front] (문구 확인 필요) 에러 메시지 표시
3. [Data] 10글자 이하로 유지됨",High,Boundary,Regression,Automation,에러 메시지 문구 확인 필요 (참고용),REQ-006
