folder_name,Testcase_Id,title,Preconditions,Test Steps,Expected Results,Priority,type,test scope,run_type,Memo,REQ_Id
"ICSR Config > Case ID > Org Level > 권한","TC-CID-001-001","Master Admin Case ID 수정 가능 검증","1. Master Admin 계정으로 로그인 상태 2. Org Admin 메뉴 접근 권한 보유","1. Org > Admin > ICSR Config > Case ID 메뉴 클릭 2. Case ID 설정 화면의 입력 필드와 Save 버튼 상태 확인","1. Case ID 설정 화면이 정상 표시됨 2. 조직 식별자, 번호 조합, Import 설정 입력 영역이 수정 가능한 상태임 3. Save 버튼이 활성화 상태임","Critical","Functional","Regression,Smoke","Automation","[권한] 상위 Account 정책 참조","CID-REQ-001 (Case ID.md §와이어프레임, Account.md §2.2, §2.4)"
"ICSR Config > Case ID > Org Level > 권한","TC-CID-001-002","Org Admin Case ID 수정 가능 검증","1. Org Admin 계정으로 로그인 상태 2. Org Admin 메뉴 접근 권한 보유","1. Org > Admin > ICSR Config > Case ID 메뉴 클릭 2. Case ID 설정 화면의 입력 필드와 Save 버튼 상태 확인","1. Case ID 설정 화면이 정상 표시됨 2. 조직 식별자, 번호 조합, Import 설정 입력 영역이 수정 가능한 상태임 3. Save 버튼이 활성화 상태임","Critical","Functional","Regression","Automation","[권한] 상위 Account 정책 참조","CID-REQ-001 (Case ID.md §와이어프레임, Account.md §2.2, §2.4)"
"ICSR Config > Case ID > Org Level > 권한","TC-CID-002-001","App Admin Org Level 접근 차단 검증","1. App Admin 계정으로 로그인 상태 2. 해당 Workspace의 Application 권한 보유","1. Org > Admin 메뉴 진입 시도 2. ICSR Config > Case ID 메뉴 노출 여부 확인 3. 직접 URL 접근 시도","1. Org Level Case ID 메뉴가 노출되지 않거나 접근이 차단됨 2. 직접 URL 접근 시 권한 오류 또는 접근 차단 화면이 표시됨 3. Case ID 설정값은 변경되지 않음","High","Security","Regression","Automation","[권한] 하위 역할 Org Level 설정 차단","CID-REQ-002 (Account.md §2.2, §2.4)"
"ICSR Config > Case ID > Org Level > 권한","TC-CID-002-002","App User 이하 Org Level 접근 차단 검증","1. App User, External User, Viewer 중 하나의 계정으로 로그인 상태 2. 해당 Application 접근 권한 보유","1. Org > Admin 메뉴 진입 시도 2. ICSR Config > Case ID 메뉴 노출 여부 확인 3. 직접 URL 접근 시도","1. Org Level Case ID 메뉴가 노출되지 않거나 접근이 차단됨 2. 직접 URL 접근 시 권한 오류 또는 접근 차단 화면이 표시됨 3. Case ID 설정값은 변경되지 않음","High","Security","Regression","Automation","[권한] 역할별 접근 차단 대표 TC","CID-REQ-002 (Account.md §2.2, §2.4)"
"ICSR Config > Case ID > Org Level > 계정 상태","TC-CID-003-001","비정상 계정 Case ID 조작 차단 검증","1. Inactive, Locked, Invitation 상태 계정이 준비됨 2. 각 계정에 Org Admin 역할 이력이 존재함","1. 각 상태 계정으로 로그인 또는 Case ID 화면 접근 시도 2. 저장 요청이 가능한지 확인","1. Inactive와 Locked 계정은 서비스 접근 또는 조작이 차단됨 2. Invitation 상태 계정은 설정 조회 또는 저장을 수행할 수 없음 3. Case ID 설정값은 변경되지 않음","High","Security","Regression","Automation","[유저상태][권한] 상위 Account 정책 참조","CID-REQ-003 (Account.md §1.3, §3.4)"
"ICSR Config > Case ID > Org Level > 세션","TC-CID-004-001","설정 편집 중 세션 만료 처리 검증","1. Org Admin 계정으로 Case ID 설정 화면 진입 2. 저장 전 변경값 입력 완료 3. 세션 만료 조건 구성","1. 변경값을 저장하지 않은 상태로 세션 만료까지 대기 2. 만료 팝업 또는 자동 로그아웃 동작 확인 3. 재로그인 후 Case ID 설정값 확인","1. 세션 정책에 따라 자동 로그아웃 또는 만료 처리가 수행됨 2. 저장하지 않은 변경값은 반영되지 않음 3. 재로그인 후 기존 저장값이 유지됨","Medium","Performance","Regression","Both","[세션] 60분 세션 및 만료 5분 전 팝업 정책 참조","CID-REQ-004 (Account.md §5.1)"
"ICSR Config > Case ID > App Level > 조회","TC-CID-005-001","App Level Case ID Read-only 조회 검증","1. Org Level Case ID 설정값이 저장됨 2. App Level ICSR Config 접근 권한 계정으로 로그인 상태","1. Workspace > Application > Admin > ICSR Config > Case ID 메뉴 클릭 2. 표시값과 수정 UI 여부 확인","1. Org Level에서 저장된 Case ID 설정값이 동일하게 표시됨 2. 입력 필드와 저장 버튼이 수정 가능한 상태로 제공되지 않음 3. App Level에서 설정값 변경 요청이 발생하지 않음","High","Functional","Regression","Automation","[권한][데이터] Safety Config read-only 정책","CID-REQ-005 (Case ID (Safety Config).md §제약사의 경우)"
"ICSR Config > Case ID > Org Level > Preview","TC-CID-006-001","Case ID Preview 하이픈 형식 반영 검증","1. Org Admin 계정으로 Case ID 설정 화면 진입 2. 국가코드 KR, 조직 식별자 SELTA, 번호 조합 2026001이 계산 가능한 테스트 데이터 준비","1. 조직 식별자와 번호 조합 설정값 입력 2. Preview 영역 확인 3. 화면 스크롤 후 Preview 고정 여부 확인","1. Preview가 국가-조직-번호 조합 형식으로 표시됨 2. 각 구간 사이에 하이픈이 표시됨 3. 스크롤 후에도 Preview가 상단 고정 영역에 표시됨","High","Functional","Regression,Smoke","Both","화면 상태 및 데이터 반영 검증","CID-REQ-006 (Case ID.md §기본 구조, §와이어프레임 #1)"
"ICSR Config > Case ID > Case 생성 > 국가코드","TC-CID-007-001","국가코드 우선순위 결정 검증","1. Case ID 설정 저장 완료 2. Reporter Country와 Reaction Country 조합별 케이스 생성 데이터 준비","1. Reporter Country Primary가 있는 케이스 생성 2. Reporter Country Primary 없이 Reporter Country First가 있는 케이스 생성 3. Reporter Country 없이 Reaction Country Primary 또는 First가 있는 케이스 생성 4. 모든 국가 정보가 없는 케이스 생성","1. Reporter Country Primary가 접두사 국가코드로 사용됨 2. Primary가 없으면 Reporter Country First가 사용됨 3. Reporter Country가 없으면 Reaction Country Primary 또는 First가 순서대로 사용됨 4. 모든 조건 미충족 시 KR이 사용됨","Critical","Functional","Regression","Automation","[데이터] 국가코드 결정 우선순위 결정테이블","CID-REQ-007 (Case ID.md §국가 코드 로직)"
"ICSR Config > Case ID > Org Level > 조직 식별자","TC-CID-008-001","조직 식별자 최소 최대 정상 반영 검증","1. Org Admin 계정으로 Case ID 설정 화면 진입","1. 조직 식별자에 1자 영문값 A 입력 2. Preview 반영 확인 3. 조직 식별자에 10자 영문숫자값 SELTA12345 입력 4. Preview 반영 확인","1. 1자 값이 저장 가능하며 Preview에 반영됨 2. 10자 값이 저장 가능하며 Preview에 반영됨 3. 대소문자가 입력한 값 그대로 유지됨","High","Boundary","Regression","Automation","[데이터] 조직 식별자 경계값 정상","CID-REQ-008 (Case ID.md §조직 식별자 입력)"
